codigo,descricao,apelido
036093,036093 - BASE DO MOTOR (GEARTEC),036093 - BASE DO MOTOR (GEARTEC)
202410,20241016,20241016
025656,025656,025656
465422,465422.FECH. TRAS. LONG. PLASMAdwgB,465422.FECH. TRAS. LONG. PLASMAdwgB
036095,036095 - CORPO DA BASE DO ESGUICHO,036095 - CORPO DA BASE DO ESGUICHO
035046,035046 - GUIA 07 UHMW [ESTEIRA ELEVADA INFERIOR - MCF M24]B,035046 - GUIA 07 UHMW [ESTEIRA ELEVADA INFERIOR - MCF M24]B
025656,025656C,025656C
035012,035012 - GUIA 02 UHMW [ESTEIRA DIREITA 01 - MCF M23]A,035012 - GUIA 02 UHMW [ESTEIRA DIREITA 01 - MCF M23]A
035060,035060 - GUIA 11 UHMW [ESTEIRA ELEVADA SUPERIOR - MCF M24]B,035060 - GUIA 11 UHMW [ESTEIRA ELEVADA SUPERIOR - MCF M24]B
035063,035063 - GUIA 14 UHMW [ESTEIRA ELEVADA SUPERIOR - MCF M24]C,035063 - GUIA 14 UHMW [ESTEIRA ELEVADA SUPERIOR - MCF M24]C
035024,035024 - GUIA UHMW 03 [ESTEIRA ESQUERDA 02 - MCF M24]D,035024 - GUIA UHMW 03 [ESTEIRA ESQUERDA 02 - MCF M24]D
030388,030388 - COMPLEMENTO BASE MÓVELA,030388 - COMPLEMENTO BASE MÓVELA
031484,031484 - LONGARINA _ PLATAFORMA _ CBHM 6000 CAFEEIRAA,031484 - LONGARINA _ PLATAFORMA _ CBHM 6000 CAFEEIRAA
459562,459562 - TRAVA DO EIXO [EIXO COMPLETO -,459562 - TRAVA DO EIXO [EIXO COMPLETO -
032544,032544 - REFORÇO DA TRANSV TRAS _ PLATAFORMA _ BAG-CENOURA,032544 - REFORÇO DA TRANSV TRAS _ PLATAFORMA _ BAG-CENOURA
034680,034680 - CHAPA FIXAÇÃO,034680 - CHAPA FIXAÇÃO
036059,036059 - FLANGE 8pol,036059 - FLANGE 8pol
036060,036060 - FLANGE 10pol,036060 - FLANGE 10pol
425760,425760 - SUPORTE DO CILINDRO _ CHASSI DA,425760 - SUPORTE DO CILINDRO _ CHASSI DA
027609,027609 - BARRA 25mm BALANÇA,027609 - BARRA 25mm BALANÇA
027613,027613 - BARRA CHAPA DE ALUMINIO,027613 - BARRA CHAPA DE ALUMINIO
027614,027614 - BARRA MAIOR CHAPA DE ALUMINIO,027614 - BARRA MAIOR CHAPA DE ALUMINIO
900307,900307 - GABARITO MANIFOLD 01,900307 - GABARITO MANIFOLD 01
900308,900308 - GABARITO MANIFOLD 02,900308 - GABARITO MANIFOLD 02
202410,20241022,20241022
900309,900309 - BASE BANCADA,900309 - BASE BANCADA
494495,494495 - DOBRADIÇA [TAMPA TRASEIRA - CBHM]B,494495 - DOBRADIÇA [TAMPA TRASEIRA - CBHM]B
494495,494495LA - DOBRADIÇA [TAMPA TRASEIRA - CBHM],494495LA - DOBRADIÇA [TAMPA TRASEIRA - CBHM]
Triângulo recto,Triângulo recto,Triângulo recto
900302,900302 - GABARITO CENTRO DO FLANGE,900302 - GABARITO CENTRO DO FLANGE
027616,027616 - TRAVESSA INFERIOR BALANÇAA,027616 - TRAVESSA INFERIOR BALANÇAA
450790,450790A,450790A
028370,028370 - COMPLEMENTO,028370 - COMPLEMENTO
028351,028351 - COLUNA,028351 - COLUNA
028340,028340 - DISTANCIADOR,028340 - DISTANCIADOR
028366,028366 - CHAPA VIRADA,028366 - CHAPA VIRADA
028365,028365 - CANTONEIRA FURADA,028365 - CANTONEIRA FURADA
028348,028348 - BASE MANCAL MOTOR,028348 - BASE MANCAL MOTOR
028350,028350 - ORELHA MANCAL MOTOR,028350 - ORELHA MANCAL MOTOR
028344,028344 - COMPLEMENTO,028344 - COMPLEMENTO
028335,028335 - LONGARINA RECORTADA LATERAL,028335 - LONGARINA RECORTADA LATERAL
027671,027671 - BASE DA PLATAFORMA DE REFUGO,027671 - BASE DA PLATAFORMA DE REFUGO
026886,026886 - FECHAM. LAT. PLATAF.,026886 - FECHAM. LAT. PLATAF.
027174,027174 - FECHAMENTO PROTEÇÃO  PLATAFORMA,027174 - FECHAMENTO PROTEÇÃO  PLATAFORMA
029128,029128 - FECHAMENTO DO FUEIRO,029128 - FECHAMENTO DO FUEIRO
027276,027276-Longarina,027276-Longarina
026899,026899 - SAPATA,026899 - SAPATA
026898,026898-ORELHA MAIOR,026898-ORELHA MAIOR
027290,027290 - FECHAMENTO TRASEIRO,027290 - FECHAMENTO TRASEIRO
027289,027289-fecham. movel,027289-fecham. movel
027238,027238-SAPATA CONJ. NIVELADOR,027238-SAPATA CONJ. NIVELADOR
028017,028017PL -CHAPA INFERIOR DO BRAÇO ROTATORIO,028017PL -CHAPA INFERIOR DO BRAÇO ROTATORIO
036058,036058 - FECHAMENTO DO TUBO 10pol,036058 - FECHAMENTO DO TUBO 10pol
444893,444893,444893
027404,027404 - ORELHA DO BRAÇO DE TORÇÃO,027404 - ORELHA DO BRAÇO DE TORÇÃO
027895,027895-orelha complemento braço de torção,027895-orelha complemento braço de torção
031556,031556,031556
900312,900312 - TAMPA PARA FLANGE 8POL,900312 - TAMPA PARA FLANGE 8POL
035127,035127 - ABA LATERAL 3,035127 - ABA LATERAL 3
466050,466050,466050
900310,900310 - TAMPA PARA FLANGE 10POL,900310 - TAMPA PARA FLANGE 10POL
493673,493673 - REFORÇO DO TRAVAMENTO [CHASSI - FA3 FB]A,493673 - REFORÇO DO TRAVAMENTO [CHASSI - FA3 FB]A
494495,494495PL - DOBRADIÇA [TAMPA TRASEIRA - CBHM],494495PL - DOBRADIÇA [TAMPA TRASEIRA - CBHM]
028424,028424 - ESTICADOR MÓD MOVIDO,028424 - ESTICADOR MÓD MOVIDO
028425,028425 - BASE ROTAÇÃO DO MÓDULO,028425 - BASE ROTAÇÃO DO MÓDULO
027904,027904 - GUIA BANDEJA,027904 - GUIA BANDEJA
027696,027696 - CHAPA DOBRADA GUIA,027696 - CHAPA DOBRADA GUIA
028513,028513 - CANTONEIRA PLÁSTICO,028513 - CANTONEIRA PLÁSTICO
027701,027701 - PERFIL L DA GUIA,027701 - PERFIL L DA GUIA
027546,027546- CANTONEIRA DE APOIO DO MANCAL,027546- CANTONEIRA DE APOIO DO MANCAL
027688,027688 - CHAPA SUPORTE SENSOR,027688 - CHAPA SUPORTE SENSOR
028414,028414 - ESPAÇADOR CÉLULA DE CARGA,028414 - ESPAÇADOR CÉLULA DE CARGA
027617,027617 - ORELHA BALANÇA,027617 - ORELHA BALANÇA
029682,029682 - REFORÇO DE ENTRADA DA CORRENTE,029682 - REFORÇO DE ENTRADA DA CORRENTE
029677,029677 - CHAPA DE ENTRADA DA CORRENTE,029677 - CHAPA DE ENTRADA DA CORRENTE
030225,030225 - CHAPA DE APOIO DO BOTÃO DE EMERGENCIA,030225 - CHAPA DE APOIO DO BOTÃO DE EMERGENCIA
030747,030747 - NIVELADOR DAS LONGARINAS SUPERIORES,030747 - NIVELADOR DAS LONGARINAS SUPERIORES
029645,029645 - CHAPA DE APOIO DA BOTOEIRA,029645 - CHAPA DE APOIO DA BOTOEIRA
027845,027845 - ORELHA TUBO DE LIGAÇÃO,027845 - ORELHA TUBO DE LIGAÇÃO
027509,027509B-LONGARINA INFERIOR MENOR,027509B-LONGARINA INFERIOR MENOR
027509,027509A-LONGARINA INFERIOR MAIOR,027509A-LONGARINA INFERIOR MAIOR
028080,028080A- PERFIL GUIA DA BANDEJA MENOR,028080A- PERFIL GUIA DA BANDEJA MENOR
027510,027510A-LONGARINA SUPERIOR MAIOR,027510A-LONGARINA SUPERIOR MAIOR
027510,027510B-LONGARINA SUPERIOR MENOR,027510B-LONGARINA SUPERIOR MENOR
027818,027818A- APOIO DO TRILHO CENTRAL DO MOD. CENTRAL,027818A- APOIO DO TRILHO CENTRAL DO MOD. CENTRAL
027818,027818B- APOIO DO TRILHO CENTRAL DO MOD. CENTRAL,027818B- APOIO DO TRILHO CENTRAL DO MOD. CENTRAL
028128,028128B - LONGARINA CENTRAL MENOR,028128B - LONGARINA CENTRAL MENOR
028128,028128A - LONGARINA CENTRAL MAIOR,028128A - LONGARINA CENTRAL MAIOR
475579,475579 - PLACA DE APOIO CHASSI   FT3A,475579 - PLACA DE APOIO CHASSI   FT3A
036090,036090 - FLANGE 20pol,036090 - FLANGE 20pol
036089,036089 - FLANGE 12pol,036089 - FLANGE 12pol
036091,036091 - FECHAMENTO TUBO 20pol,036091 - FECHAMENTO TUBO 20pol
900346,"900346 - TIRA 1200 x 130 x 3,04","900346 - TIRA 1200 x 130 x 3,04"
900347,"900347 - TAMPO 750 x 750 x 3,04","900347 - TAMPO 750 x 750 x 3,04"
900348,"900348 - TAMPO 800 x 320 x 4,76","900348 - TAMPO 800 x 320 x 4,76"
900349,"900349 - TIRA 600 x 50 x 4,76","900349 - TIRA 600 x 50 x 4,76"
900350,"900350 - TIRA 800 x 50 x 4,76","900350 - TIRA 800 x 50 x 4,76"
029830,029830 - CALHA MÓD MOTOR RETROFIT,029830 - CALHA MÓD MOTOR RETROFIT
027410,027410-LONGARINA SUPERIOR,027410-LONGARINA SUPERIOR
25237,25237,25237
027415,027415-SAPATA APOIO,027415-SAPATA APOIO
027412,027412-FECHAM. FIXO,027412-FECHAM. FIXO
027528,027528 - ORELHA DA BALANÇA,027528 - ORELHA DA BALANÇA
028221,028221-ORELHA,028221-ORELHA
028220,028220-CANTONEIRA,028220-CANTONEIRA
028413,028413 - BASE DA CÉLULA DE CARGA,028413 - BASE DA CÉLULA DE CARGA
027610,027610 - BARRA 27mm BALANÇA,027610 - BARRA 27mm BALANÇA
027607,027607 - BASE BALANÇA,027607 - BASE BALANÇA
027606,027606 - LATERAL BALANÇA,027606 - LATERAL BALANÇA
028468,028468A - FECHAMENTO CALHA MEDIANA,028468A - FECHAMENTO CALHA MEDIANA
028468,028468B - FECHAMENTO CALHA MEDIANA,028468B - FECHAMENTO CALHA MEDIANA
029601,029601A- TAMPA DA CALHA MAIOR,029601A- TAMPA DA CALHA MAIOR
027860,027860-CHAPA DE APOIO ALMOFADAA,027860-CHAPA DE APOIO ALMOFADAA
029601,029601B- TAMPA DA CALHA MENOR,029601B- TAMPA DA CALHA MENOR
027739,027739B - CALHA MEDIANA,027739B - CALHA MEDIANA
035979,035979 - CHAPA DE FIXACAO DA MOLA,035979 - CHAPA DE FIXACAO DA MOLA
027319,027319 - COMPLEMENTO DO ESTICADOR,027319 - COMPLEMENTO DO ESTICADOR
027611,027611 - BASE INTERMEDIARIA BALANÇA,027611 - BASE INTERMEDIARIA BALANÇA
027738,027738-FECHAM LATERAL CONTINUAÇÃO,027738-FECHAM LATERAL CONTINUAÇÃO
027660,027660-TRAVA FECHAM. LATERAL,027660-TRAVA FECHAM. LATERAL
028174,028174-FECHAM LATERAL,028174-FECHAM LATERAL
029826,029826 - BASE DA TOMADA,029826 - BASE DA TOMADA
029947,029947 - _U_ DE APOIO RETROFIT,029947 - _U_ DE APOIO RETROFIT
026885,026885-PISO PLATAFORMA,026885-PISO PLATAFORMA
026894,026894-DEGRAU DA ESCADA-PLAT.,026894-DEGRAU DA ESCADA-PLAT.
035985,035985 - ORELHA DOBRADA,035985 - ORELHA DOBRADA
900342,900342 - CORPO DA TAMPA 20pol,900342 - CORPO DA TAMPA 20pol
900341,900341 - TAMPA PARA FLANGE 12pol,900341 - TAMPA PARA FLANGE 12pol
027713,027713 - RODA DENTADA 2,027713 - RODA DENTADA 2
